index,J_XYL_F_0001_01,J_XYL_F_0001_02,J_XYL_F_0002_01,J_XYL_F_0002_02,J_XYL_F_0003_01,J_XYL_F_0003_02,J_XYL_F_0004_01,J_XYL_F_0004_02,J_XYL_F_0005_01,J_XYL_F_0005_02,J_XYL_F_0006_01,J_XYL_F_0006_02,J_XYL_F_0010_01,J_XYL_F_0010_02,J_XYL_F_0012_01,J_XYL_F_0012_02,J_XYL_F_0013_01,J_XYL_F_0013_02,J_XYL_F_0015_01,J_XYL_F_0015_02,J_XYL_F_0016_01,J_XYL_F_0016_02,J_XYL_F_0018_01,J_XYL_F_0018_02,J_XYL_F_0020_01,J_XYL_F_0020_02,J_XYL_F_0025_01,J_XYL_F_0025_02,J_XYL_F_0031_01,J_XYL_F_0031_02,J_XYL_F_0032_01,J_XYL_F_0032_02,J_XYL_F_0034_01,J_XYL_F_0034_02,J_XYL_F_0036_01,J_XYL_F_0036_02,J_XYL_F_0043_01,J_XYL_F_0043_2,J_XYL_F_0044_01,J_XYL_F_0044_02,J_XYL_F_0045_01,J_XYL_F_0045_2,J_XYL_F_0046_01,J_XYL_F_0046_02,J_XYL_F_0047_01,J_XYL_F_0047_02,J_XYL_F_0048_01,J_XYL_F_0049_02,J_XYL_F_0050_01,J_XYL_F_0050_02,J_XYL_F_0051_01,J_XYL_F_0051_02,J_XYL_F_0053_01,J_XYL_F_0053_02,J_XYL_F_0057_01,J_XYL_F_0057_02,J_XYL_F_0058_01,J_XYL_F_0058_02,J_XYL_F_0059_01,J_XYL_F_0059_02,J_XYL_F_0060_01,J_XYL_F_0060_02,J_XYL_F_0061_01,J_XYL_F_0061_02,J_XYL_F_0062_01,J_XYL_F_0062_02,J_XYL_F_0064_01,J_XYL_F_0064_02,J_XYL_F_0065_01,J_XYL_F_0065_02,J_XYL_F_0066_01,J_XYL_F_0066_02,K_XYL_F_0001_01,K_XYL_F_0001_02,K_XYL_F_0002_01,K_XYL_F_0002_02,K_XYL_F_0003_01,K_XYL_F_0003_02,K_XYL_F_0004_01,K_XYL_F_0004_02,K_XYL_F_0005_01,K_XYL_F_0005_02,K_XYL_F_0007_01,K_XYL_F_0007_02,K_XYL_F_0008_01,K_XYL_F_0008_02,K_XYL_F_0009_01,K_XYL_F_0009_02,K_XYL_F_0011_01,K_XYL_F_0011_02,K_XYL_F_0012_01,K_XYL_F_0012_02,K_XYL_F_0013_01,K_XYL_F_0013_02,K_XYL_F_0017_01,K_XYL_F_0017_02,K_XYL_F_0018_01,K_XYL_F_0018_02,K_XYL_F_0022_01,K_XYL_F_0022_02,K_XYL_F_0028_01,K_XYL_F_0028_02,K_XYL_F_0030_02,K_XYL_F_0030_03,K_XYL_F_0033_01,K_XYL_F_0033_02,K_XYL_F_0035_01,K_XYL_F_0035_02,K_XYL_F_0036_01,K_XYL_F_0036_02,K_XYL_F_0037_01,K_XYL_F_0037_02,K_XYL_F_0038_01,K_XYL_F_0038_02,K_XYL_F_0039_01,K_XYL_F_0039_02,K_XYL_F_0042_01,K_XYL_F_0042_02,K_XYL_F_0043_01,K_XYL_F_0043_02,K_XYL_F_0044_01,K_XYL_F_0044_02,K_XYL_F_0045_01,K_XYL_F_0045_02,K_XYL_F_0046_01,K_XYL_F_0046_02,K_XYL_F_0047_01,K_XYL_F_0047_02,K_XYL_F_0048_01,K_XYL_F_0048_02
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0,310,437,145,0,444,159,68,0,0,0,25,138,135,220,50,211,26,228,103,145,99,22,6,168,1176,0,95,85,118,185,153,428,378,55,445,37,11,0,232,22,129,325,191,681,30,331,0,710,0,1665,431,378,31,0,0,66,173,690,233,194,770,222,1020,915,209,528,65,0,0,987,0,476,118,67,0,58,0,54,169,47,344,60,128,0,34,0,78,239,381,34,0,0,476,99,98,334,49,818,23,798,0,100,95,605,328,0,0,1044,0,38,305,106,354,298,225,457,216,246,207,337,141,36,91,95,0,141,281,226,114
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,0,0,0,208,0,0,0,0,35,0,0,20,0,403,0,6,0,4,0,0,0,7,395,0,465,0,0,0,0,0,0,4,55,75,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,80,373,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,6,0,0,19,0,0,0,0,0,0,0,0,0,48,0,0,19,94,0,19,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,0,19,454,978,0,227,176,131,13,422,0,0,215,167,106,158,238,0,69,0,0,0,151,0,156,43,0,134,0,0,0,154,170,96,0,42,193,0,0,0,0,0,46,130,194,105,0,238,0,0,0,629,0,100,0,26,0,0,0,147,100,193,407,208,56,0,0,106,0,8,0,0,0,0,95,0,0,0,0,0,91,202,0,0,37,259,0,97,0,0,478,187,0,0,0,18,0,0,0,198,0,0,0,0,372,148,0,0,197,164,0,23,0,23,0,0,0,0,221,132,83,179,169,149,452,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group,144,197,0,118,0,0,0,49,0,0,0,0,103,0,712,68,72,0,79,137,223,484,55,0,0,0,0,107,305,145,582,158,0,62,0,0,341,0,724,109,103,65,39,106,125,125,64,207,732,287,802,0,63,0,396,122,1069,135,0,0,1159,262,451,688,138,0,77,0,0,0,560,204,308,0,109,124,202,319,145,628,0,309,238,422,114,0,0,0,37,0,0,55,4,138,282,180,0,225,202,101,2492,135,291,104,0,0,108,37,383,222,127,89,1263,118,75,0,0,0,0,97,0,0,55,233,0,335,189,177,221,700
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,17,0,6,184,137,21,101,377,173,305,0,0,180,372,116,56,92,32,83,89,66,10,128,52,147,0,109,116,0,0,63,99,75,12,112,0,176,0,58,0,0,118,256,312,75,31,0,245,0,0,27,57,446,279,0,0,154,67,19,48,0,83,111,10,144,27,0,0,0,326,0,0,24,0,0,0,0,0,0,0,142,187,0,0,28,33,8,143,86,120,144,164,0,0,162,174,0,1372,0,0,0,18,21,740,180,0,183,41,204,53,0,0,0,151,0,0,119,16,120,0,454,30,34,116,74,72,4,240,0,0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera,0,0,0,0,0,0,0,114,0,0,0,0,390,317,0,0,4,84,0,0,22,105,50,0,0,0,0,99,155,357,0,2,0,0,0,42,0,0,0,0,0,0,252,148,7,337,0,0,0,0,0,0,0,0,153,0,83,46,0,20,0,39,441,0,37,0,81,0,251,0,0,124,7,0,0,0,0,0,33,0,0,0,0,0,145,230,0,0,0,23,0,0,0,0,0,170,32,0,0,0,123,14,0,0,0,0,0,0,8,0,0,15,0,48,64,0,0,10,0,16,0,0,358,111,508,0,9,0,358,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae,0,26,0,24,0,22,0,26,0,0,8,0,3,3,0,0,28,0,22,34,0,0,6,0,0,0,0,0,0,4,8,0,13,2,0,0,10,0,0,0,0,7,0,8,26,0,0,2,0,0,0,0,0,7,0,0,7,0,25,3,37,0,3,0,23,30,19,0,53,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5,0,0,0,0,17,0,8,4,0,8,0,0,0,8,0,11,26,4,74,0,0,0,4,5,4,0,9,27,39,1,0,0,10,0,0,16,9,10,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,493,350,2128,527,9590,713,981,95,530,0,456,303,311,9520,8049,295,242,611,872,980,180,1100,85,1149,334,66,285,4253,2692,793,1146,1434,386,187,135,2444,0,0,180,191,191,487,159,852,710,172,112,282,0,0,676,3721,1882,233,1212,267,1175,414,917,999,4593,920,228,1154,1474,431,198,1025,47,242,3138,54,14798,760,7815,152,1558,104,3595,381,5764,82,412,136,297,739,1537,252,822,905,7222,169,5717,2012,464,4126,602,462,6103,349,536,559,392,4623,7548,299,259,631,2474,6108,6556,4812,10949,312,564,3808,4910,4754,9679,5036,5803,2431,8229,2352,8600,442,0,2260,119
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium,5,144,451,67,0,0,202,87,0,0,126,0,0,52,0,0,146,0,203,115,0,0,47,416,61,45,0,0,82,0,66,121,0,0,64,56,216,87,787,437,170,93,137,106,71,240,0,99,0,0,0,0,0,0,0,0,0,0,127,354,157,374,16,0,8,35,0,7,0,512,0,35,0,0,10,15,0,0,0,0,0,30,0,0,58,114,0,0,0,0,0,3,0,0,0,0,0,0,43,142,0,0,0,0,178,91,297,229,111,1007,14,0,0,133,0,0,0,3,0,0,236,147,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1003,0,1169,17,27,0,44,0,0,0,23,0,2,0,0,0,1717,510,0,33,0,1797,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,248,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,310,0,0,0,0,0,0,0,0,0,13,0,0,29,210,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003,375,1207,101,188,0,456,197,168,0,275,123,773,167,139,16,125,0,55,0,0,182,11,0,0,42,5,0,200,352,468,39,0,196,274,163,0,214,289,0,0,179,65,0,0,0,0,12,33,0,0,0,0,229,143,0,184,0,204,305,514,0,0,0,8,52,0,252,49,29,144,0,0,0,0,0,0,0,0,198,114,0,76,286,2122,12,203,8,123,148,735,124,77,0,148,44,39,31,0,0,0,0,0,0,0,373,69,738,189,394,832,0,25,0,0,0,0,190,420,290,218,487,221,114,0,84,0,0,39,0,99
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,0,0,637,314,592,0,137,418,188,123,0,0,209,694,0,0,0,8,0,0,0,0,274,0,308,25,198,148,0,0,19,176,262,0,117,0,686,0,0,0,0,0,300,176,134,441,0,0,0,0,0,0,0,0,0,0,0,325,88,333,0,0,0,0,17,0,0,56,183,120,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,478,302,0,0,0,0,0,0,0,0,0,0,0,0,217,0,76,201,19,0,0,20,0,17,0,0,0,0,0,0,0,0,250,0,165,0,83,0,14,84
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,75,0,356,0,0,0,44,0,0,0,0,0,0,0,32,0,0,44,0,0,0,0,3,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,3,0,0,0,0,67,0,0,0,0,0,0,5,99,0,166,0,121,0,94,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,99,90,30,0,70,0,73,150,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,0,0,257,58,0,0,0,48,5709,0,236,0,656,364,0,70,922,100,2147,3970,99,10,378,1352,615,0,0,0,65,28,52,0,85,210,2238,2233,0,0,545,157,0,0,584,211,0,0,2,0,0,0,0,85,0,0,0,0,0,0,0,0,39,0,0,0,186,370,0,0,305,810,0,0,0,0,33,0,28,0,0,42,0,51,0,0,1151,1063,571,47,0,0,0,0,0,0,84,3,110,0,110,15,35,37,0,63,0,19,0,28,96,0,7,0,54,8,16,0,0,0,0,0,0,0,193,70,64,22,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella,2717,8193,107,254,217,185,84,581,0,189,187,375,102,299,519,241,627,1553,2456,584,2032,1164,271,117,0,265,359,2016,422,595,217,334,1594,7174,1502,126,445,325,2102,558,8876,14261,256,2435,2802,838,8486,851,7662,1336,8174,0,456,140,815,565,5624,665,228,632,604,414,301,210,529,125,9901,4843,1085,442,1982,939,1317,4157,12103,3920,222,8792,4842,9882,225,153,2426,478,1515,3103,0,852,150,293,0,118,92,223,1770,3726,210,198,310,132,332,369,284,191,178,105,48,208,661,0,163,77,1963,150,301,6526,320,98,389,69,271,168,648,787,609,1025,306,200,242,212
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0,276,0,37,0,97,91,93,0,0,103,49,51,153,37,90,19,28,30,97,32,111,52,0,57,120,33,120,87,0,63,5,0,0,37,69,64,110,0,0,0,0,86,0,141,0,0,3,205,0,51,97,98,0,66,0,246,115,90,44,109,382,81,45,261,18,97,0,48,18,109,45,345,58,30,50,0,0,0,309,0,307,16,187,0,2,0,86,120,439,30,30,0,278,9,132,139,0,99,93,74,0,0,408,270,170,61,0,180,0,108,267,47,64,284,0,174,41,114,105,0,74,0,84,0,118,70,44,33,256
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia,0,0,27,20,0,59,97,140,0,0,0,39,0,23,0,0,0,0,0,0,13,29,25,0,0,198,21,0,32,0,2,67,114,0,37,135,26,0,0,180,0,0,104,35,62,53,19,0,132,0,63,30,77,15,0,14,134,152,87,93,0,83,0,121,108,16,99,23,0,0,0,0,72,0,52,0,0,0,0,0,107,78,0,95,0,0,0,18,31,262,0,0,0,0,19,25,44,0,141,6,194,0,22,182,122,32,26,0,65,0,32,42,22,0,210,0,88,9,84,19,0,0,26,15,0,17,0,40,38,14
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,428,339,147,22,0,93,38,0,115,1472,0,0,263,92,0,60,156,116,277,111,600,194,276,40,24,939,98,247,139,51,184,177,285,2,152,14,161,0,81,0,116,185,214,26,168,452,264,0,313,0,137,0,51,142,0,103,165,86,65,394,1019,22,0,65,0,48,668,69,98,101,219,225,97,341,0,615,71,61,0,118,67,76,150,0,4,5,147,114,76,0,58,29,0,108,189,247,285,94,136,103,316,81,22,0,30,68,68,0,80,0,7,38,305,367,168,100,124,152,37,13,34,76,451,27,409,96,0,133,50,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group,0,13,180,323,0,16,41,61,71,19,0,0,122,164,0,46,14,34,0,19,0,75,217,0,113,14,98,124,37,0,49,71,216,0,89,41,119,136,0,0,0,0,95,32,72,13,12,140,30,0,0,225,227,39,0,0,10,68,78,108,6,0,7,0,80,59,35,62,465,337,5,12,0,0,0,12,0,18,0,0,0,20,0,0,9,90,0,23,0,15,117,0,0,28,0,32,8,25,16,52,0,0,0,11,0,32,35,34,84,0,3,217,0,61,53,0,38,0,22,0,0,0,142,61,148,10,0,21,28,0
